sentence,emotion
"retweet, like, and comment! #white #woman goes on  #rant against two #hispanic #women, ... onâ¦ ",0.25
retweeted baycat (@user  msg of #hope for #newyear: a business to end . #endof2016 #tedtalks #tedatibm... ,0.25
right wings members back to fpÃ  #gegenrechts #nostrache #fpÃ #noafd #nopegida  #populism #nonazis #aufstehn,0.25
rise up today is out!  stories of police brutality from @user @user @user ,0.25
rise up today is out!  stories of police brutality from @user @user @user #police ,0.25
Rocking out to No Doubt and gonna start up some more Neverwinter Nights ,1
ruined the artwork of 50 students.... feeling a bit guilty for a monday morning ,0
Running late for school again. As usual ,0
Running late for work  but I'm going to put down a deposit for my apt today!,0
"running SUPER late b/c my stomach's upset... and its raining, so this drive is really gonna suck major ass ",0
ryanodonnell: @AttractMode Thanks for putting on such a great event. Can't wait for the inevitable sequels!  [.. http://tinyurl.com/c3e3ub,1
ryanrossfanz  &lt;-- FOLLOW THEM!  Ryan is uber!,1
Rye143gg (1:58:00 AM): Lol. Ur really pretty....so pls don't pull a britney &lt;&lt; haha thnx shauna...that made me laugh ,1
's spring break is over and she has to go back to school! ,0
saaaad face ,0
sad right now. need to be comforted by someone. ,0
Saddle Ranch Comedy night. Then back to the boy's house ,1
"sadly I can't seem to make my iPhone in to a iSuperPhone by shining Sonic Screwdriver at it, so no intergalactic calls for me. ",0
"sadly, those you call your enemies are the majority of americans.  #fascist #putinspuppet ",0.25
"salt lake tech workers experience least racism, survey says - deseret news   ",0.25
Sarcasm. Hits me every time as well ,1
Saturday�s Graze box finally arrived today. The grapes were mouldy after 3 days in GPO  I�m considering cancelling my account altogether.,0
save the date! 1-4-2017 sourcenation! live wed 8 #thependulum @user #newshow  #policebrutalityâ¦ ,0.25
save the date! 1-4-2017 sourcenation! live wed 8 #thependulum @user #newshow  #policebrutalityâ¦ ,0.25
"saw a vid where some dude spoke #arabic on his #cell on #delta &amp; got thrown off, these 2 #idiots are screamingâ¦ ",0.25
says #fatty. dumb #black people think they can smell !  lol ,0.25
says got my insurance for my laptop because my charger is broke.   back at college nearly finished though j... http://plurk.com/p/p5nkv,0
says I'm just ain't worth it.  http://plurk.com/p/p5xpw,0
says suggest ng names ng dogs oh. mey 4 kming puppies. 2 lalaki 2 babae  http://plurk.com/p/mzz7b,1
says supposed to be tonight ang aming flight to thailand  http://plurk.com/p/p5eud,0
says thepiratebay is being sued! tsk tsk   http://plurk.com/p/p5vet,0
says two days na akong may headache.  :'-(   http://plurk.com/p/p5e0o,0
scapelliti:  progresverebel: ha! good riddance! #blacklivesmatter ,0.25
scapelliti:  woobietuesday: when you're blocked by a  troll because you promise to  #blacklivesmatter &amp;â¦ ,0.25
school - have to learn ,0
School  then hanging with someone. Not sure who tho,0
School again.  Haven't finished my lab though... FML,0
school at 8:00.... coming back at 4:00 ,0
School must start again.. I'm so sad in a little while i won't be able to twitter.. ,0
school tomorrow  but i get study leave in 2 weeks  which means my french speakings in 2 weeks :'( oh this sucks,0
"school tomorrow  really dreading it, its depressing. im off anyway. ill try get in one more tweet before school ..",0
"school was boring, and full of weirdos ",0
"school, prob the most not cool thing ",0
School. Lunch. Mall. STUDY. i have a loooong night ahead of me  Again.. Physics is POOP.,0
school..  then home unless our game in canceled..,0
"school....I must go  adios, chicas.",0
scientists are against ! but only if the child is less than 18 months old...  ,0.25
sea shepherd suppoers are racist!   #antiracism #seashepherd ,0.25
sea shepherd suppoers are racist!   #antiracism #seashepherd ,0.25
sea shepherd suppoers are racist!   #antiracism #seashepherd ,0.25
sea shepherd suppoers are racist!   #antiracism #seashepherd ,0.25
sea shepherd suppoers are racist!   #antiracism #seashepherd ,0.25
sea shepherd suppoers are racist!   #antiracism #seashepherd ,0.25
sea shepherd suppoers are racist!   #antiracism #seashepherd  ,0.25
sea shepherd suppoers are racist!   #antiracism #seashepherd  ,0.25
sea shepherd suppoers are racist!   #antiracism #seashepherd  ,0.25
"see what #russia is doing in #syria,  destroying masjids  ",0.25
Seeing 15 huge workitems come by in my rss reader. Thought they were commit messages. Turns out they're just new trac tickets ,0
"'Seek the truth, and the truth will set you free...' damn powerful..  harder than it seems. but definitely worth it. ",1
seems its escaped your attention that bashing whites isn't winning you any elections - over 1200 dem seats lost 08-â¦ ,0.25
"seems like @user ""#canadianvalues"" are ignoring reality, dividing &amp; weakening, #hate &amp; . #science #cdnpoliâ¦ ",0.25
Sent an email to one of my undergraduate professors - she replied back saying I made her day ,1
sequence 1 to 13 color corrected on deadline. So difficult to get the lighting to match in the &quot;darkness sequences&quot; ,0
"seriously  lede. come on, @user you can do better. ",0.25
seriously got rejected by my @user driver as soon as i got in the car because i'm white... wow!  at its finest!,0.25
Seriously hates mondays ,0
"Seriously, it is a challenge to fit a 6x4 foot walk in closet full of clothes into a 3 foot non walk in closet.  no room for my shoes.",0
seriously? can't believe this in 2016! trump ally wishes mad cow disease death for obama - cnn #crazy   ,0.25
sex postion picture  white girl has sex with black guy ,0.25
sex videos of chinese  against women in the workplace ,0.25
sexism may be harmful to men's mental health...#men  #woman  ,0.25
sexist slant in media representation of women 'needs to change'  #slant #media #representation #women #needsâ¦ ,0.25
sexy cora porn  black girl porn ,0.25
"Shame about that project I considered my pet, but this is simply unsustainable ",0
shane left his toothbrush..how can something so simple make me cry so much. damn hormones. I miss my shane-e-pot-pie ,0
share 6 steps you can take to stop a racist attack or intervene with a berating bully   via @user,0.25
"sharepointing, inside ",0
shares Yeheeyyy! My karma has gone up  http://plurk.com/p/mzrpe,1
SHAZZAM - Vivvid is 78!  Go Wemb ,1
she didn't get far #cbb #model #axed  #already ,0.25
"she resigned today from the ""chaer"" school. #texas  #justicereform ",0.25
shenagians!  my team is awesome&lt;3,1
shhhhhhhhhh....time to watch the Hills. ,1
"Shit, looks like my internet's going to be cut off soon because I missed a bill. Fucks sake. I hate being poor ",0
"shocker. #soros funded causes no matter how  r ok, but criticism of #leftard policies, #hypocrisy is not ok.â¦ ",0.25
"Shoot For The Moon! Even if you miss, you'll land among the stars. ",1
shot to racism. #shot  #disparo #trompas #trumpas #migitorio #entreteiment ,0.25
should be going to bed... maybe i'll do that... but i'm thinking I'll put on Anastasia on my laptop as i fall asleep ,1
"should be in bed, but whatever ",1
should be on a beach in Lanzarote but thanks to glasgow giving me food poisoning is stuck at home   STILL gutted!!,0
should be sleeping. ,0
Shower and ready for school! I can't see the pic in my cell! ,0
"Shower.In.Socks.  Piano today. I keep speeding it up   Be prepared, Dale, I've got it mastered, and it is BEAST! (I might be exaggerating)",0
Shuttling Delhi Mumbai 3 times a month ..  ..,0
Sick day - sucks ,0
sick from china foods ,0
sick of aall of this shit happening  needs helpful advicee .. GOIN TO BEYONCE YAY. GOOD CHARLOTTEE WILL STILL TOP IT :p &lt;3333,0
Sick sick sick  sooo annoyed with all of the weather change!!!,0
"sick, possibly staying home from school once again.. ",0
sign that i checked a bag at iah. every. single. time.  ,0.25
signing off now  ttual,1
silveragatka: had to screenshot &amp; share these snaps from michaelacoel it's an impoant message.  #colouâ¦ ,0.25
since it needs to be done in a few hours lmao ,0
"since posting the 2 new photos on my website with the kids my hit count went up...way, way, way up. love to china for 5,000 views alone. ",1
Sitting at his mom's work.  Craving tea.,1
sitting here watching a lovely young man watch anime on youtube   Sweet  He's so interesting ,1
"sitting in 1st hour , this is gonna be a longgg day ",0
Sitting in here with the aircon on is making my eyes hurt. Nose is blocked ,0
Sitting in Sydney text-skyping my Dad who is in LHR dep lounge on brink of latest holiday adventure. Love the connection. ,1
"Sitting in the garden, Enjoying the sun but yet VERY bored! ",0
Sitting outside of a country pub drowning my sorrows ,0
Sitting the airport having to finish my coffee before going through security. Early morning- alarm went off at 4:15am ,0
Skins tonight. Poor Chris ,0
"Skype for iPhone + VoIPover3G, now we can easily make voice calls over 3G or GRPS/EDGE. Cool stuff, thanks to Open Source community ",1
"Sleeeeeeeeeep, then an interview tomorrow! Wish me luck ",1
Sleeeeeeeeeepy time tends to coincide with school time ,0
Sleeeep time! I'll check back in tomorrow!  raining tomorrow? wtheck?,1
Sleeeepin. Gotta rest up to finish painting ,1
Sleep. Then AT&amp;T in the morning. Oh the sweet smell of the boys of summer. ,1
sleeping under the stars ,1
sleepover with Corey and Korey. ,1
sleepy time  see u in the A.M.,1
Sleepy time with @johnheimkes ,1
"Sleepy.. with a headache   yes, I am whinging!",0
slept when she got home and now must do homework at 4am.  ,0
"Sliced the end of my thumb off peeling potatoes for the roast last night, OUCH!  Slept with my hand in the air to stop it from throbbing ",0
small brains...just close eyes...vote for #lunatics @user @user @user #kkk #breitba #altrightâ¦ ,0.25
"Smalltalk Design Patterns Companion finally came.. and my Physics one, not in such good condition as I hoped it would be. ",0
smoke out the old year and new year at the same time! marijuana unleashed at ibooks.   ,0.25
Smoke restore from LTO take hours  Seeking to block 3895458,0
smooth new year's eve! marijuana unleashed at ibooks.   ,0.25
so  much for weekends!  ,0
so bored. ,0
So cold ,0
So depressing... the rain is relentless  ,0
so effing tired of my throat hurting.... ooooohh... i just got a crazy craving for a pina colada/banana slushie!!!! ,1
So far kinda really liking Espresso over Dreamweaver. Handcoding html/css ftw ,1
So freakingg sickkk... Ughhh ,0
"So glad to be back, and so glad to have a short week.  ",1
so is it offical that #jews are officially  in the eyes of the #libtard masses? ,0.25
"So just started, just seeing what it's all about. ",1
so much #stupid in these  #black on #white posts ,0.25
"So much art work to do...its ridiculous! Last day of holidays, then back to school ",0
so much to do so little time ,0
so not looking forward to going back to school tomorrow ,0
so proud to have a mayor like @user who isnt afraid to speak the truth..and yes he is completely rightâ¦ ,0.25
"so sick of all the pre-programmed #hillbots rhetoric! enough, already!! how about unity, patriotism and love for feâ¦ ",0.25
so sleeepyy.. finally the load of laundry i had to get done is DONE  good night everyone,1
so sleepy. good times tonight though ,1
So thirsty ,0
so this girl walks into #starbucks and refuses to let me serve her because i'm a white guy? whoa hey there  and ,0.25
so tired this morning ,0
"SO tired, Mondays suck! And so does the rain when my bus stop is a 10 minute walk from my house :| ",0
So tired..Crazy working hours! I kept falling asleep on the bus today..I have a bump on my head ,0
"So Tweetie is pretty cool, but needs moar Growl ",0
"So what to do, well im still sitting in my office chair, Im actualy doing something im twittering  and installing a server ",0
so when is the next klan meeting?  ,0.25
so when is your next klan meeting?! my wife isn't white &amp; i'm proud of her &amp; our love. we are each others gift fromâ¦ ,0.25
"so, who do you think told those dictionaries what  is?",0.25
So...waiting on the bell to ring for class to start..  blea.. I'm not fond of algebra 2,0
Some amazing news for 5yac!! Im so stoked follow me to see what comes next  be ready,1
Some people update way too much around 3am ,0
someone find this man  #stopracism ,0.25
Something's wrong with the Internet!!!  The only site I can open is Twitter. (not that that's a bad thing),0
"Soo... I go to the gym 5 times a week and I burn my legs off, yet my weight remains the same! How rubbish is that... ",0
"soon, i'm going to bed ",1
sooo freaking tired. glad it's almost the break soo i can sleep in! cant wait to head to weyburn after easter. ,1
Sooo mad. i  cant believe im about to go to school after this 'fun' spring break. ,0
soooooo sleepy but at least i made my 5am workout..... boooooo monday ,0
speaking of  in #science and #medicine... ððð  cc @user ,0.25
"spent the day alone in Tokyo for the first time today, unfortunately Sean wont let me go far alone so Ive been bored!!! ",0
spent the evening outside in the beautiful warm weather. finally feels like spring ,1
spos illustrated girls naked  sex videos ,0.25
SPRiNG BREAK iS OffiCiAllY ..OVER  ...SChOOl THiS MORNiNG .UGHH i H8TE SCHOOl SOOO FREAKiN MUCH UGH !,0
spring break is over  back to school 40 days tilll summer,0
Spring break is over  I don't feel like fixing my hair today.,0
spring break is over  it's back to work,0
Spring??? Where did u go???? It was so nice to see u the other day. U suck ,0
"st. mark's cathedral: 'we will name racism, anti-semitism, xenophobia as sins' - komo news  ",0.25
"stage 1 is just about 100% complete. Naw to wait a few days fo stages 2-4 to come, then BAM! Ill have the hottest hair in z world. ",1
standing in the richardson office changing a backup tape... I'm such a work-a-holic! ,1
"Start of a long workday, prob not much tweeting. Streaming Bill Bennett while digging out from under Monday's piles and piles. ",0
started up twitteriffic on OSX Desktop.. now it won't die!!  silly app ,0
Starting a busy day at work happy that @geoffjones rang me from airport ,1
Starting another week of work ,0
"statement,doubling down #paladino to media:my comments in avoice were not   #libcrib  #hate #mental",0.25
staying home with two sick kids ,0
still *Cannot get contents of supplied URL.* i guess that means i can't make it before cut-off.   http://plurk.com/p/p5l36,0
"still buzzing from SIETAR... thanks to @pattidigh for pushing the old boundaries - boy, someone could make money off a twitter manual... ",1
still cant find any friends on here ,0
Still having trouble breathign ,0
"Still no joy for the Pacifer.        Disney questions, anyone?",0
Still sad this morning ,0
Still sick! I can NOT believe it ,0
still sitting doing uni work  but only 4 more days of it!!!,0
still thinks twitter is a hipster circle jerk ,1
Still tryna figure out Twitter. I thought I had it but hold on for me guys ,1
Still up. Playin cards with the girls. ,1
"Stomach still hurts today, ",0
stop ating my fathers son ,0.25
stop bullying. stop racism. everyone can stand up to it and say it's wrong and treat everyone with respect. #everydayheroes  #bully,0.25
stop calling @user ! i've met him. bbc is more  than he. he's got big work ahead. @user @user,0.25
stop lying about #keithellison's 11 years with an anti-semitic hate group  #keithx #dncchair #antisemitism ,0.25
stop these  chelski fans. #equality #diversity ,0.25
stop trying to find  where it isn't even happening! #airingofthegrievances ,0.25
Stpid SBB is messing with my internet again... ,0
"Strawberry cheesecake ice cream and Captain Jack Sparrow.  Yeah, it's a good life. ",1
Stressful day ,0
stressing over this math test...uhhh....2 days till spring break!!!! ,1
"stuakenyon81 #cover #reveal!  swiftly sharpens the fang , #radicalisation &amp; #revenge eevalancaster ",0.25
Stuck inside for the next 9 hours when the wheather is this nice  not happy ,0
"Stuck next to raisin in ICT, joy. No help at all he's to smart ",0
Studying pediatrics and listening to NKOTB (as always!). The kids are pissed cuz they're trying to watch the Disney Channel ,1
"Studying philosophy and math... &lt;----BLAH aka listening to music and on twitter, facebook, and myspace ",1
Studying with friends!  that's my update,1
stuffed with cupcakes and marshmallows from baked butter goods ,1
Stupid Brother and his Stupid exams. wont let me watch tv!  grrrrr,0
stupid flyers!!! flyers won 6-3 sorry pens.  better luck next time? u pens betta whoop der @$$'s next time,0
"such a nice day. would love to be heading to brecon on the bike, instead I'm stuck in work all day, then going to college all evening ",0
such a rainy day  where did the nice weather go?!,0
Sucks at speed now ,0
sucks when your wireless mouse is running out of battery power ... sometimes it works sometimes it doesn't ,0
sucky weather today ,0
"Sun is shining, birds are tweeting and I'm stuck indoors! Boo! ",0
Suppose I best go to exam room. Cya in 3 hours! ,0
"supposedly i should be a motel owner, to get an insurance for the same as per some call-center execs.... man i feel rich ",1
sure sunderland isn't alone.  incidents in #sunderland more than double after brexit vote ,0.25
surprise! adam saleh is a  ! (@user ) ,0.25
"Surprisingly, I miss school! ",0
Survived the night time gherkins.  Heads swimming with ideas this morning.  Only a few of them are actually workable. Time to get busy! ,1
suspected henrico #vandal's #mother: #'my #son isn't ' - dec 31 @ 9:46 pm et  ,0.25
suspected henrico vandal's mother: 'my son isn't racist'  ,0.25
Sussing out twitter.. here's me hoping it was a two way thing ,0
Swamped! And lunchless. ,0
sweet day! too nice for computer screens and the library  @Dulcette name of that website again? my memory is awful,0
T @BennyGreenberg Tools of the Road Warrior http://hub.tm/?KXJBQ Pretty Cool - Please Retweet ,1
"Ta all for bombarding me with links to the HO story, 'tis old news &amp; I was in Chessington w kids  Onwards",1
tafe quiz then PHOTOSHOOT with my sezdawg ,1
taken kitty to the doc's... poor thing ,0
taking a shower ,1
Talk about well rested :-D the only downfall is I can hear the rain POURING ,0
Talking to alicia about twitter ,1
talking to william ,1
"tea and the tonight show  .. say hello to john melendez, kevin eubanks, and the tonight show band!",1
techjunkiejh:âthe daily showâ unpacks  against #blackwomen and #asianmen on #datingapps â¦ ,0.25
techjunkiejh:'alt-right' site plans a 'fake black person' twitter campaign  #socialmedia â¦ ,0.25
tell that jeffery beauregard @user to quit foolin' around and come pick up his hood &amp; sheets for saturdaâ¦ ,0.25
tellmeee please ,0
"terry bradshaw &amp; george karl: at very least insensitive remarks, at most racist. re: melo and mike tomlin. trump emboldened? ",0.25
Testing out my DSi on this site. It rocks ,1
th picture size thing for this is wayyyy too small. it wont let me upload any ,0
"thank you  ð santa ð , for the best christmas present ever #cdnpoli #abpoli #yyc #yeg #canada #ottawa @user ",0.25
thank you comrade @user is it erica avenue? i am making a stop at @user to find out why she doesnt hire indian domestics ,0.25
"Thank you Firefox for crashing on me, halfway through a complex online form ",0
"thank you sara for the unforgettable response to  and appalling comments by the heabroken ""doctor""â¦ ",0.25
thank you sexxy flower take your time.. happy sleeps and wet dreams.. luv ya babe!!!! ,1
thank you!! the power of #social #media!   @user #aande ,0.25
"thanks for all the input @ncvbxfgf, @jogabenita,@valtan29, @joeaugustin, @lyrradnahc! keep them arguments coming! ",1
Thanks to my new followers! ,1
"thanks to racists + fascist it's now 280,-  + #fascism sucks! #refugeeswelcome â¤ð",0.25
"that damn house wants 3,000 more than we offered...ugh...may not be too out of reach though ",1
that hammock just attempted #whitegenocide #lies #tinfoilhat #fakenews #altrightcards  ,0.25
"that is why  is systemic, rather than just humanity being human. it is power and reinforced each minute!",0.25
"that was a sad night, we lost to Philly, that was harsh ",0
That was sick. Soma rocks. ,1
That would be why @JonathanRKnight laughed at me when I told him my username has caca in it. lol ,1
"That'll be a no then, no ribena at all. Welcome to the worlds crappiest canteen ",0
"that's harsh,  even in these post #brexit,  #xenophobia,   times.  what next, a charity called send the buggâ¦ ",0.25
"'the #mummersparade, by its very dna, is a largely-unrepentant  affair that has no business existing' ",0.25
"the #nc ""monster law"" made by republican lawmakers that disenfranchised black voters ""with near surgical precision.â¦ ",0.25
the #truth abt #police &amp;  #maga  #audiblechannels ,0.25
"the *diversity officer* states (among other things) #killallwhitemen; yet, because she's an ""ethnic minority woman""â¦ ",0.25
"the @Asos girls are making me laugh today, thanks! Makes me wish sometimes I didnt work in a 2 person office ",0
the @user lady said it's the juniors only area (it wasn't) &amp; i'd be ask to leave if someone complained. then her boss defended her ,0.25
the 4th remake of hi-5 doesn't have the token asian chick.    #carolsbycandlelight,0.25
the alt-right movement is like:  mustfall ,0.25
the anc never prosecute that type of offences against white people. just listen to zuma and malema and you know why. ,0.25
The 'baby' isn't really a baby anymore. 16 today.  Her momma feels old.,0
the bearâs rapacious hunger for oil also sealed its doom.  â¦ #allahsoil  #teambtsâ¦ ,0.25
the bearâs rapacious hunger for oil also sealed its doom.  â¦ #allahsoil  #teambtsâ¦ ,0.25
The bell should have rang for lunch by now  i need the toilet!,0
the best way to succeed is to make all the right mistakes ,1
the cars in Fast and Furious get me excited ,1
the countdown till these assholes are gone  obama and moron creepy uncle joe! bye bye  scum!ððð¼ ,0.25
the cowboys racist. i'm convince fooh. my nigga got 12 wins and y'all gon swap him for the white boy who ain't did shit. ,0.25
the end of   #me #selfie # #love #messi #cr7 #religion #christianity #mecca_live ,0.25
the end of   #me #selfie # #love #messi #cr7 #religion #christianity #mecca_live ,0.25
the everyday response to   @user,0.25
the fuck done with #mansplaining and other  bullshit. ,0.25
The furry ones and I were gonna go back 2 the bark park today. But its ElCrapo outside ,0
The future lingers uncertain for my son.    One step at a time.,0
The getting out of bed thing doesnot sound like a good idea ,0
The high 5 has not worked today. ,0
the historian whitewashing ukraineâs past  #ukraine #volodymyrviatrovych #history #whitewashing  #jews #nazis,0.25
the idiocy of feminism.  they actually think microaggressions matter.  here's the proof: ,0.25
the immature @user is just trying to make a fool of @user   #xenophobe #immature #moron ,0.25
the inter-terrestrial #scifi #sciencefiction on #kindleunlimited   #99cents in #january #2017 #kindle ,0.25
the ironies inherent in my experiences living &amp; working in #qatar. #discrimination  ,0.25
"the italian fascist #carlpaladino needs a lobotomy in 2017 that""s my wish. perhaps then he""ll realize yes, carl you are a #bigot &amp; ",0.25
"the latest ""say what?!?!""  thanks to @user #culturesways ",0.25
the latest #socialmooc!  thanks to @user @user @user #feliz2017 ,0.25
the latest eco news of the day!  thanks to @user  #indigenous,0.25
the latest science u can use daily!  thanks to @user ,0.25
the latest the  daily!  thanks to @user @user @user  #catalunya,0.25
the latest the afl tattler!  thanks to @user @user @user  #afghanistan,0.25
the latest the african american turmoil!  thanks to @user @user @user  #blm,0.25
the latest the african american turmoil!  thanks to @user @user @user #blacktwitter ,0.25
the latest the all in one news24 daily!  thanks to @user @user @user #africa ,0.25
the latest the blicqerâ¢ daily!  thanks to @user @user @user  #ad,0.25
the latest the blicqerâ¢ daily!  thanks to @user @user @user  #marketing,0.25
the latest the cognizant blogger!  thanks to @user @user @user #fostercare ,0.25
the latest the equality echo!  thanks to @user @user @user #equality ,0.25
the latest the eu #tweet daily!  thanks to @user  #healthy,0.25
the latest the indigenous and remote daily!  thanks to @user @user @user #justjustice ,0.25
the latest the liveleap bonus daily!  thanks to @user @user @user #amandanunes ,0.25
the latest the merocrush daily!  thanks to @user @user @user  #media,0.25
the latest the seattle daily!  thanks to @user #seahawks ,0.25
the latest the zurich times!  ,0.25
"the left don't know how to do anything right, including insulting.  #leftist  #snowflake #happyholidaysâ¦ ",0.25
the legacy of a @user  crony. vote passes calling for @user to resign or get the boot! ,0.25
the major kind of  that people arenât talking enough about  via @user #environmental #justice,0.25
the new cobracam video isnt up yet  i'll check back in an hour....,0
"the problem with having a job that pauses for the easter break is that when said break is over, you don't want to go to work ",0
the pros and cons of marrying an irishman  omg! a sexist aicle on men &amp; can only add to ongoing #irish ,0.25
the racist truth about canadian immigration  #cdnpoli #lpc #canpoli  #canada,0.25
the radicalism of woodrow wilsonâs racism  #blacklivesmatter #tcot  #blacktwitter #tlot,0.25
"the raspberry and white chocolate cupcakes were a hit, now...what to do with the other 12? Poor, poor #HenryWoodHouse peeps ",0
the revolution occurredâjust not how marx expected it to.  â¦  #teambts #teamsuperjuniorâ¦ ,0.25
the scars left by us waime camps  mt @user   ,0.25
The seminar is in Zhong Wen again ,0
the stupidity of the alcoholic #wiunion hags is the stuff of legend ,0.25
the sun  and am in work,0
The sun is out. I want to be out in it but not alone! What a bugger ,0
The sun is shining and I'm at work ,0
the sun is shining and im stuck in work...not fun!! ,0
The Super Red Diva !!!  Stupid University ,1
The thought of coursework is just depressing meeeee! ,0
the time  #women got #physical with me at #mcdonalds ð±ðð¼ #equality #garbagepailkids #allgrownup #assault #yay ,0.25
The train is travelling at a speed that will get me to the gym before work ,1
The TV won't turn on  And it's brannnnn new.,0
the uk governmentâs new #anti-semitism definition conflates  with valid criticism of #israel | opendemocracy ,0.25
the uk government's new 'anti-semitism' definition conflates racism with valid criticism of israel - openâ¦â¦ ,0.25
The weather was great while it lasted! Back to the rain and cold. ,0
The weekend is over... Classes today ,0
the weekend was a blast. i had a great time on saturday!! Now back to the usual routine...yay ,0
the white flight of derek black  #kkk #trump  #change,0.25
there are times when we surprise ourselves by exceeding expectations! and when others notice that.. it surely feels good ,1
there is link about how to enjoy dark chocolate within the post..  http://chai-coffee.blogspot.com/2009/04/chocolate-flavoured-math.html,1
There is no world in which Ueda would be related to Nakai.... do not look same ,0
There is nothin goin on at the UN confrance in switzerland BORING ,0
there is nothing to do these days  xx,0
there is only one requirement for the job of the us president: being male #stillwithher #hillaryclinton #neverumpâ¦ ,0.25
There's 5batteries retest tomorrow and my leg is not healing ,0
There's a dent in my blackberry. I dropped it out of my lap onto tile. ,0
There's a really annoying bird nested in a tree near my office window and it's making a noise like a evil dentist's drill ,0
There's a reason they call the week before a show hell week - the tension can feel like hell ,0
There's always something good happening in our lives. We just have to open our eyes and take time to realize... ,1
There's nothing more depressing than still having to use MSIE 6 to test HTML templates in.  That browser is older than your car people!,0
these #conservative  white boys (yea calling you #punks boy like you did/do us) like @user @user etc annoy me!,0.25
These days I just can't sleep anymore. 2 hours worth last night.    Wish I was getting better but I'm not. Downward spiral.,0
"these kind of people need to be erased of eah''s surface -_- , ",0.25
Thievery Corporation are awesome to revise to... but stuck inside doing work on such a beautiful day  booo!,0
Things go from bad to worse. Now four people are out at work. Doesn't look like Fire of Brazil is going to happen ,0
Think &quot;Silence of the lambs&quot; - and laugh your ass of   http://twurl.nl/854wcg,1
thinkin abt goin to play but its kinda beginnin to rain!! ,0
thinking and planning ,1
thinking he likes me not ... ,0
Thinks everyone needs to go buy Tina Parol's song Who's Got Your Money on iTunes ... NOW! ,1
Thinks it's bloody typical that the weather is lovely now she's stuck indoors ,0
"thinks working 57 hours this week might just kill me a little bit, that wat you get for having a week off ",0
this  motherfucker needs to be in #prisonâ¡ï¸ âcharles paladino's racist comments spark calls for resignationâ  ,0.25
"this #respect concept was thrown out of the window when #skinheads, #white supremacists &amp; #kkk heededâ¦ ",0.25
This bagel's stale. ,0
this basically sums up what #brexit means: #britainâs  #eurosceptic  #xenophobic #isolationist #tribalismâ¦ ,0.25
This crap is boring  Where's everyone?  xD XD,0
this definitive history of racist ideas should be required reading  #ushistory #afamhist ,0.25
this diagram explains trump's response to orlando   @user  #rip #theresistance #resistance #resist  #maga,0.25
this govt has a lot to answer they are very racist ,0.25
this guy is a lunatic. an angry....ignorant....and vicious man! ,0.25
this idiot makes my blood boil!  #pig #liar ,0.25
this is a completely justified call out on my comment. again i do apologize @user ,0.25
this is a special kind of stupid. #liberals have no basis in reality or in history.  must be a  ,0.25
"this is awful! just slap on the face to #americans hey my neighbor black just bought a $700,000 house. we r soâ¦ ",0.25
this is beyond upsetting. i was one of her biggest fans.  #whitepeople  #hawaii #jlaw #disrespect,0.25
this is how morgan freeman responded when asked 'how do solve racism?' #morganfreeman  #commonsense ,0.25
this is really telling.   #microaggressions #race #whiteprivilege #antiblackness,0.25
this is sooooo  or may be just funny ,0.25
"This is the coolest testament to Jonanthan - sitting here, deciding how we're going to change the world.   Big stuff not required.  ",1
this is the type of  trash trump and paladino attract. #dumbfuck ,0.25
this is what trumpâs ny campaign chair had to say about the sitting president of the united states and the first laâ¦ ,0.25
This laptop sucks ,0
This latest episode of NewNowNext is like full of awesome! ,1
This morning I woke up from a dream where my little brother and I were cornered by an assassin. I couldn't find anything to kill him with ,0
this moron is leading the us down a path that has so much potential to damage and destroy the world. â¦ ,0.25
"this night's to do list: clean, make wishlist, and sing to my musics. ",1
"this obviously  #tcot gets on &amp; #inaspanof maybe #allof two seconds after boarding - thinks he ""knows"" whatâ¦ ",0.25
"this really is some lovely company you have there, petous and @user well done.   #antisemitism #misogyny",0.25
this should have been enough 2 just say no #notmypres #wtf2016 #neverump #unpresidented #bigot  ... ,0.25
this should have been enough 2 just say no #notmypres #wtf2016 #neverump #unpresidented #bigot  â¦ ,0.25
this very moment is the single worst moment of my week. blow me monday morning. ughhh ,0
"this video was censored by youtube  for ""hate speech"" ð enjoy! #maga  #everythingisracist #triggeredâ¦ ",0.25
this week starts - on tuesday... ,1
this will absolutely piss you off.  #replacyclay #maga   ,0.25
this woman needs to be arrested and prosecuted for encouraging rape of another race #depoation  ,0.25
"this! #cambersands deaths blamed on victims' ""culture"" by council what about paying #lifeguards, maybe?  #wow ",0.25
those replies.   is dead tho. ð ,0.25
thought factory: bbc neutrality on right wing fascism  #politics #media #blm #brexit #trump #leadership &gt;4 ,0.25
thought factory: bbc neutrality on right wing fascism  #politics #media #blm #brexit #trump #leadership +4 ,0.25
thought factory: left-right polarisation! #trump #uselections2016 #leadership #politics  #brexit #blm &gt;10 ,0.25
thought factory: left-right polarisation! #trump #uselections2016 #leadership #politics  #brexit #blm &gt;15 ,0.25
thought factory: left-right polarisation! #trump #uselections2016 #leadership #politics  #brexit #blm &gt;6 ,0.25
thought factory: left-right polarisation! #trump #uselections2016 #leadership #politics  #brexit #blm ~11 ,0.25
thought factory: left-right polarisation! #trump #uselections2016 #leadership #politics  #brexit #blm ~12 ,0.25
thought factory: left-right polarisation! #trump #uselections2016 #leadership #politics  #brexit #blm ~14 ,0.25
